id,left_id,right_id,label,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released
126,1262,34952,0,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,When Love Takes Over ( Feat . Kelly Rowland ) [ Explicit ],David Guetta,One More Love [ Explicit ],Dance & Electronic,$ 1.29,"( C ) 2014 Lazy Hooks , LLC Under Exclusive License To Capitol Records , LLC",3:11,"November 24 , 2010"
156,1289,34035,0,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,I Can Only Imagine ( feat . Chris Brown & Lil Wayne ),David Guetta,Nothing But the Beat 2.0 [ Explicit ],Dance & Electronic,$ 0.99,2015 Real Sounds,3:29,"August 26 , 2011"
469,5161,34090,0,The Motto ( Bonus Track ) [ feat . Lil Wayne ],Drake,Take Care ( Deluxe Version ),"Hip-Hop/Rap , Music",$ 1.29,‰ ãÑ 2011 Cash Money Records Inc.,3:01,15-Nov-11,Too Much [ feat . Sampha ] [ Explicit ],Drake,Nothing Was The Same ( Deluxe ) [ Explicit ],Rap & Hip-Hop,$ 1.29,( C ) 2013 Cash Money Records Inc.,4:21,"September 24 , 2013"
216,1683,23781,1,Jack Daniels and Jesus,Chase Rice,Ignite the Night,"Country , Music , Urban Cowboy , Contemporary Country",$ 1.29,2014 Dack Janiels Records,3:55,19-Aug-14,Jack Daniels and Jesus,Chase Rice,Ignite the Night,Country,$ 1.29,"( C ) 2014 Dack Janiels Records , under exclusive license to Sony Music Entertainment .",3:55,"August 19 , 2014"
275,2734,17185,0,Rewind ( feat . Monty ),Fetty Wap,Fetty Wap,"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:36,,Jugg ( feat . Monty ) [ Clean ],Fetty Wap,Fetty Wap [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",3:20,"September 25 , 2015"
53,592,43689,1,I Ai n't Livin ' Long Like This,Chris Janson,Take It to the Bank - EP,"Country , Music",$ 1.29,2014 Sony Music Entertainment,4:13,24-Feb-14,I Ai n't Livin ' Long Like This,Chris Janson,Take It to the Bank ( EP ),Country,$ 1.29,( C ) 2012 Cash Money Records Inc.,4:13,"February 24 , 2014"
398,4047,14998,0,Where Are '`` Now ( with Justin Bieber ) [ Ember Island Remix ],Skrillex & Diplo,Where Are '`` Now ( with Justin Bieber ) [ Remixes ] - EP,"Dance , Music",$ 1.29,2015 OWSLA / Mad Decent / Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,2:31,16-Jun-15,Ease My Mind ( feat . Niki and the Dove ) [ GTA Remix ],Skrillex,Ease My Mind v Ragga Bomb Remixes,"Dance & Electronic , Dubstep",$ 1.29,"2014 OWSLA/Big Beat Records , Inc. for the United States and WEA International Inc. for the world outside of the United States .",4:41,"November 24 , 2014"
151,1278,27994,0,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe ),Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:20,"November 24 , 2014"
250,2337,54230,1,Old Blue Chair,Kenny Chesney,When the Sun Goes Down,"Country , Music , Contemporary Country , Urban Cowboy",$ 1.29,2004 Sony Music Entertainment,3:23,1-Jan-90,Old Blue Chair,Kenny Chesney,When The Sun Goes Down ( Deluxe Version ),Country,$ 1.29,2012 Pinecastle Records,3:25,"February 2 , 2004"
257,2456,24297,1,I 'd Love to Change Your Name,Kenny Chesney,In My Wildest Dreams,"Country , Music , Urban Cowboy , Contemporary Country",$ 0.99,2004 BMG Music,2:48,1994,I 'd Love To Change Your Name,Kenny Chesney,In My Wildest Dreams,Country,$ 0.99,( p ) Moda Black,2:48,"July 27 , 2004"
70,1148,7757,1,Goner,twenty one pilots,Blurryface,"Alternative , Music , Rock , Adult Alternative , Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,15-May-15,Goner,twenty one pilots,Blurryface,Alternative Rock,$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,"May 15 , 2015"
94,1176,34919,0,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,24-Nov-14,Missing You ( Feat . Novel ; Continuous Mix Version ),David Guetta,One Love ( Deluxe Version ),Dance & Electronic,$ 1.29,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,4:59,"August 21 , 2009"
512,6314,20455,0,Ca n't Stop Now ( feat . Jovi Rockwell and Mr. Vegas ),Major Lazer,Guns Do n't Kill People ... Lazers Do,"Electronic,Music,Hip-Hop / Rap , Rap , Alternative , Reggae , Dance , Modern Dancehall , Rock",$ 1.29,"‰ ãÑ 2009 Downtown Music , LLC .",4:03,2009,Hold The Line [ feat . Santigold ] [ Explicit ],Major Lazer,Guns Do n't Kill People ... Lazers Do ( Deluxe ) [ Explicit ],"Electronica , Dance & Electronic",$ 1.29,"( C ) 2009 Downtown Music , LLC .",3:39,"June 3 , 2015"
89,1165,27986,0,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,24-Nov-14,"Hey Mama ( feat . Nicki Minaj , Bebe Rexha & Afrojack )",David Guetta,Listen ( Deluxe ),Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:12,"November 24 , 2014"
371,3505,30346,0,Elevator ( feat . Timbaland ),Flo Rida,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Dirty South",$ 1.99,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:55,17-Mar-08,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,3:17,"March 17 , 2008"
467,5147,43679,0,Take Care ( feat . Rihanna ),Drake,Take Care ( Deluxe Version ),"Hip-Hop/Rap , Music",$ 1.29,‰ ãÑ 2011 Cash Money Records Inc.,4:37,15-Nov-11,The Real Her [ feat . Andre 3000 ] [ Explicit ],Drake,Take Care ( Deluxe Edition ) [ Explicit ],Rap & Hip-Hop,$ 1.29,( C ) 2012 Cash Money Records Inc.,5:21,"March 20 , 2012"
246,2293,33133,0,A+E ( feat . Kandaka Moore & Nikki Cislyn ),Clean Bandit,New Eyes,"Dance , Music , Electronic , Classical , Classical Crossover , Rock , House , Electronica",$ 1.29,2014 Warner Music UK Limited,4:06,2-Jun-14,Rather Be ( feat . Jess Glynne ),Clean Bandit,New Eyes,"Electronica , Dance & Electronic",$ 1.29,( C ) 2005 Rebel Records Llc,3:47,"June 2 , 2014"
168,1312,28011,0,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,Shot me Down ( feat . Skylar Grey ) [ Radio Edit ],David Guetta,Listen ( Deluxe ),Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:11,"November 24 , 2014"
105,1195,28061,0,The Whisperer ( feat . Sia ),David Guetta,Listen,"Dance , Music , Electronic , House , Rock , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",3:54,24-Nov-14,Goodbye Friend ( feat . The Script ),David Guetta,Listen,Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:49,"November 24 , 2014"
428,4736,30405,0,Lick It ( Norman Doray Remix ),Kaskade & Skrillex,Lick It ( Remixes ) - EP,"Dance , Music , Electronic",$ 1.29,"2012 Ultra Records , Inc.",6:14,17-Apr-12,Make It Bun Dem ( Flinch Remix ),Skrillex & Damian Jr Gong '' Marley '',Make It Bun Dem After Hours EP,Dance & Electronic,$ 1.29,2015 RGK,3:55,"August 28 , 2012"
313,3292,7440,1,True Colors ( feat . Nicki Minaj ),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,19-Aug-14,True Colors ( feat . Nicki Minaj ) [ Explicit ],Wiz Khalifa,Blacc Hollywood [ Explicit ],Rap & Hip-Hop,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,"August 19 , 2014"
208,1598,52923,0,Fake ( Demo ),Shinedown,Us and Them ( Deluxe Version ),"Rock , Music , Metal , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,5:05,4-Oct-05,Carried Away [ Demo ],Shinedown,Us And Them ( Deluxe ) [ Explicit ],Rock,$ 1.29,2015 Real Sounds,3:14,"October 4 , 2005"
403,4206,27799,0,Lights ( RAC Mix ),Ellie Goulding,"Lights , Pt. 2 ( The Remixes ) - EP","Dance , Music , Pop",$ 1.29,2011 Polydor Ltd. ( UK ),5:44,19-Jul-11,Lights ( Single Version ),Ellie Goulding,Lights ( Amazon Exclusive Version ) [ + Digital Booklet ],Pop,$ 1.29,( C ) 2011 Polydor Ltd. ( UK ),3:32,"March 8 , 2011"
128,1263,31287,0,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,Phone Tap ( Album Version ( Explicit ) ) [ Explicit ],David Banner,Mississippi-The Album ( Explicit Version ),Pop,$ 0.69,"( C ) 2003 Universal Records , a Division of UMG Recordings , Inc.",1:52,"May 20 , 2003"
52,588,55899,1,Afire Love,Ed Sheeran,x,"Singer/Songwriter , Music , Pop , Rock , Contemporary Singer/Songwriter , Adult Alternative",$ 1.29,"2014 Asylum Records UK , a Warner Music UK Company",5:14,20-Jun-14,Afire Love,Ed Sheeran,x,Pop,$ 1.29,( C ) 2014 mau5trap Recordings Ltd,5:14,"June 20 , 2014"
199,1552,50063,0,Second Chance ( Live Acoustic from Kansas City ),Shinedown,Somewhere In the Stratosphere ( Live ),"Rock , Music , Metal , Alternative , Hard Rock",$ 1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,5:06,18-Apr-11,Miracle ( The Live Room ),Shinedown,The Warner Sound Live Room EP,Rock,$ 1.29,2013 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:35,"May 28 , 2013"
401,4056,40142,0,Where Are '`` Now ( with Justin Bieber ) [ Ember Island Remix ],Skrillex & Diplo,Where Are '`` Now ( with Justin Bieber ) [ Remixes ] - EP,"Dance , Music",$ 1.29,2015 OWSLA / Mad Decent / Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,2:31,16-Jun-15,Scary Monsters And Nice Sprites ( Zedd Remix ),Skrillex,Scary Monsters And Nice Sprites EP [ Explicit ],"Electronica , Dance & Electronic , Dubstep",$ 1.29,( c ) 2013 Digitop Ltd,5:57,"December 21 , 2010"
311,3270,49156,0,Judas ( Royksopp 's 30 Pieces Remix ),Lady Gaga,Born This Way ( The Remix ),"Pop , Music , Dance",Album Only,2011 Interscope Records,9:18,21-Nov-11,Alejandro ( The Sound of Arrows Remix ),Lady Gaga,The Remix,Pop,$ 1.29,( C ) 2010 Interscope,3:57,"August 3 , 2010"
84,1161,27990,1,The Whisperer ( feat . Sia ),David Guetta,Listen,"Dance , Music , Electronic , House , Rock , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",3:54,24-Nov-14,The Whisperer ( feat . Sia ),David Guetta,Listen ( Deluxe ),Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:54,"November 24 , 2014"
131,1264,28000,0,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,"Lift me up ( feat . Nico & Vinz , Ladysmith Black Mambazo )",David Guetta,Listen ( Deluxe ),Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:58,"November 24 , 2014"
9,252,52996,0,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Smoke ( Interlude ) [ Explicit ],X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:24,"June 30 , 2015"
253,2394,29834,1,That Lucky Old Sun ( Just Rolls Around Heaven All Day ) [ With Willie Nelson ],Kenny Chesney & Willie Nelson,Lucky Old Sun,"Country , Music , Contemporary Country , Honky Tonk",$ 0.99,"2008 Blue Chair Records , LLC",4:16,2008,That Lucky Old Sun ( Just Rolls Around Heaven All Day ( with Willie Nelson ) ),Kenny Chesney,Lucky Old Sun [ + video ],Country,$ 0.99,"( P ) 2008 Blue Chair Records , LLC and BMG Music",4:16,"April 24 , 2012"
44,433,33307,1,Nothing Would Be Better,Nick Jonas,Nick Jonas,"Pop , Music , Pop/Rock , Rock",$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",4:34,10-Nov-14,Nothing Would Be Better,Nick Jonas,Nick Jonas ( Deluxe ) [ Explicit ],Pop,$ 1.29,"( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc.",4:34,"November 10 , 2014"
169,1312,28022,0,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,"Hey Mama ( feat . Nicki Minaj , Bebe Rexha & Afrojack )",David Guetta,Listen ( Deluxe ),Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:12,"November 24 , 2014"
479,5406,27824,1,This Love ( Will Be Your Downfall ),Ellie Goulding,Bright Lights ( Deluxe Version ),"Pop , Music , Dance , Rock",$ 1.29,‰ ãÑ 2010 Polydor Ltd. ( UK ),3:53,29-Nov-10,This Love ( Will Be Your Downfall ),Ellie Goulding,Lights,Pop,$ 1.29,( C ) 2011 Polydor Ltd. ( UK ),3:53,"March 8 , 2011"
76,1156,28014,0,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,24-Nov-14,What I did for Love ( feat . Emeli SandÌ © ),David Guetta,Listen ( Deluxe ),Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:27,"November 24 , 2014"
114,1216,33988,1,Glasgow,David Guetta,Nothing But the Beat - The Electronic Album,"Dance , Music , Electronic , House , Rock",$ 0.99,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",5:13,26-Aug-11,Glasgow,David Guetta,Nothing But The Beat - The Electronic Album,Dance & Electronic,$ 0.99,2009 Andy Henningsen,5:13,"August 26 , 2011"
177,1344,10527,0,Beautiful Now ( feat . Jon Bellion ) [ Charlie Darker Remix ],Zedd,Beautiful Now ( feat . Jon Bellion ) [ Remixes ] - EP,"Dance , Music",$ 1.29,2015 Interscope Records,4:15,10-Jul-15,Clarity ( Zedd Union Mix ) [ feat . Foxes ],Zedd,Clarity ( Remixes ),Dance & Electronic,$ 1.29,( C ) 2013 Interscope Records,3:28,"February 12 , 2013"
347,3412,34324,0,Remember You ( feat . The Weeknd ),Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",$ 1.99,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20,4-Dec-12,Bluffin ( feat . Berner ) [ Explicit ],Wiz Khalifa,O.N.I.F.C. [ Explicit ],Rap & Hip-Hop,$ 1.29,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:32,"December 4 , 2012"
42,426,33282,1,Closer ( feat . Mike Posner ),Nick Jonas,Nick Jonas ( Deluxe ),"Pop , Music , Rock , Pop/Rock",$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",3:48,10-Nov-14,Closer [ feat . Mike Posner ] [ Clean ],Nick Jonas,Nick Jonas ( Deluxe ) [ Clean ],Pop,$ 1.29,"( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc.",3:48,"November 10 , 2014"
211,1625,27515,0,Fake ( Demo ),Shinedown,Us and Them ( Deluxe Version ),"Rock , Music , Metal , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,5:05,4-Oct-05,Left Out [ Demo ],Shinedown,Leave A Whisper ( Deluxe ),Rock,$ 1.29,2015 Mad Decent,3:36,"May 27 , 2003"
470,5201,22909,0,Hold Up ( feat . T Streets ),Lil Wayne & T Streets,I Am Not a Human Being,"Hip-Hop/Rap , Music , Rap , Hardcore Rap , Dirty South",$ 1.29,‰ ãÑ 2010 Cash Money Records Inc.,4:10,15-Nov-10,Wowzerz ( Album Version ( Explicit ) ) [ feat . Trina ] [ Explicit ],Lil Wayne,I Am Not A Human Being II ( Explicit Version ) [ + digital booklet ],Rap & Hip-Hop,$ 1.29,2005 Secretly Canadian,3:45,"March 26 , 2013"
412,4547,26140,1,Billy,Keith Urban,In the Ranch,"Country , Music , Honky Tonk , Contemporary Country",$ 1.29,1997 Capitol Nashville,3:46,1997,Billy,Keith Urban,Keith Urban In The Ranch,Country,$ 1.29,( c ) 1997 Capitol Nashville,3:46,"February 10 , 2004"
380,3574,53962,0,"Why You Up In Here ( feat . Ludacris , Git Fresh & Gucci Mane )",Flo Rida,"Only One Flo , Pt. 1","Hip-Hop/Rap , Music , Rap , Dirty South",$ 1.29,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:36,24-Nov-10,Man of the Year ( feat . Lil Wayne ) [ Explicit ],Flo Rida,Welcome to Flo Rida [ Explicit ],Rap & Hip-Hop,$ 0.99,2015 CMG Records,3:01,"April 6 , 2015"
5,249,53087,1,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,VHS Outro ( Interlude ) [ Explicit ],X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,1:25,"June 30 , 2015"
322,3321,34348,0,Remember You ( feat . The Weeknd ),Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",$ 1.99,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20,4-Dec-12,It 's Nothin ( feat . 2 Chainz ) [ Explicit ],Wiz Khalifa,O.N.I.F.C. [ Explicit ],Rap & Hip-Hop,$ 1.29,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:47,"December 4 , 2012"
59,796,33113,0,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Justin Bieber,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Dance , Music , Rock",$ 1.29,2012 The Island Def Jam Music Group,4:40,11-Sep-12,Never Say Never [ feat . Jaden Smith ],Justin Bieber,Never Say Never - The Remixes,Pop,$ 1.29,( C ) 2011 The Island Def Jam Music Group,3:48,"February 14 , 2011"
79,1156,34921,0,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,24-Nov-14,It 's The Way You Love Me ( Feat . Kelly Rowland ; Continuous Mix Version ),David Guetta,One Love ( Deluxe Version ),Dance & Electronic,$ 1.29,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,4:11,"August 21 , 2009"
268,2718,17189,0,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,,My Way ( feat . Monty ) [ Clean ],Fetty Wap,Fetty Wap [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",3:32,"September 25 , 2015"
